status	gender	major	dorm	year
2	2	223	169	2005
1	2	199	167	2007
1	1	223	166	2005
1	2	190	171	2008
2	2	205	166	2005
2	1	223	170	2005
1	1	199	170	2008
2	2	199	172	2005
5	1	212	0	0
2	2	209	171	2005
1	1	205	165	2007
2	2	209	167	1999
1	2	205	167	2008
1	2	209	0	2009
1	1	228	166	2007
1	1	205	171	2008
1	2	209	169	2008
5	2	204	171	2003
1	2	208	170	2007
1	2	205	172	2008
1	0	0	0	0
1	2	205	172	2007
2	2	209	170	2005
1	2	192	0	2006
1	1	199	167	2008
2	2	200	172	2005
1	2	202	168	2005
2	2	205	0	2005
1	1	199	166	2007
2	2	208	168	2005
1	2	228	0	2009
1	2	201	172	2007
1	1	199	172	2006
2	2	199	0	2005
1	2	194	170	2006
1	1	222	171	2007
5	2	204	0	0
1	1	209	0	2008
1	2	221	172	2008
2	1	208	0	0
1	0	201	165	2007
1	0	0	0	0
1	2	190	168	2008
5	0	0	0	0
1	2	207	167	2006
1	1	201	168	2008
1	2	228	172	2006
1	2	0	172	0
1	2	208	167	2007
1	2	201	170	2009
1	1	197	0	2006
5	2	208	170	2004
1	2	208	172	2007
1	2	0	0	0
1	0	0	0	0
1	2	199	169	2008
2	2	202	172	2005
1	2	190	168	2007
1	2	190	170	2008
1	2	192	0	2006
1	2	205	167	2007
1	2	223	168	2008
2	2	223	172	2004
2	2	209	172	2005
1	2	200	170	2006
1	1	201	168	2006
1	2	208	169	2008
1	2	202	167	2007
1	1	212	172	2008
1	1	196	0	2009
1	2	208	0	2006
1	2	222	171	2008
1	2	208	170	2007
1	1	202	172	2008
1	2	228	172	2005
2	2	228	0	2005
5	2	228	0	0
1	2	208	165	2008
1	1	220	167	2006
2	1	212	172	2005
1	2	194	166	2008
2	2	202	171	2004
1	2	228	172	2006
1	1	208	169	2005
1	2	208	166	2006
1	2	192	168	2007
1	2	209	172	2006
5	0	0	0	0
1	0	0	0	0
1	2	199	165	2007
1	2	199	169	2008
1	2	228	166	2006
1	2	205	168	2008
1	1	209	171	0
5	2	208	0	0
1	2	222	172	2007
1	2	190	171	2008
2	2	209	171	2005
2	1	209	172	2003
1	1	228	169	2008
1	2	199	170	2006
2	2	207	171	2005
1	2	223	172	2008
1	1	0	165	0
1	2	222	165	2007
2	2	199	168	2005
1	2	205	169	2006
1	0	0	0	0
1	2	223	165	2006
1	2	200	0	2006
2	1	213	166	2004
1	2	228	168	2007
1	2	204	172	2007
1	2	222	172	2008
1	1	202	171	2008
1	2	0	170	2004
1	1	228	169	2007
1	2	228	172	2006
2	1	220	171	1993
1	1	196	171	2008
1	2	199	170	2007
1	1	204	167	2007
1	2	0	170	2008
2	2	223	0	2005
5	2	201	0	0
1	2	208	172	2006
1	1	194	165	2006
5	2	208	0	0
1	1	192	170	2008
1	1	209	172	2008
1	1	0	0	2007
1	2	223	170	2007
1	2	223	171	2008
2	1	201	166	2005
1	2	228	172	2006
1	2	228	172	2006
1	2	208	166	2007
1	2	207	170	2007
1	2	205	166	2008
2	1	199	172	2005
1	2	228	168	2008
1	0	0	0	0
1	2	222	172	2007
2	0	0	0	0
1	2	208	170	2007
1	1	0	0	2009
1	2	201	169	2007
1	0	0	0	0
2	2	223	172	2004
1	1	202	172	2007
2	1	208	0	2005
5	2	208	171	0
1	2	208	169	2008
1	2	222	167	2006
1	2	190	0	2009
5	2	198	0	0
1	1	202	171	2008
2	2	208	170	2001
2	2	201	172	2002
1	1	212	169	2006
1	1	223	167	2006
2	2	228	166	2005
1	2	228	171	2008
1	2	0	0	0
1	0	0	0	0
1	2	208	165	2007
2	2	228	169	2005
5	2	208	172	0
1	1	212	169	2007
1	2	228	0	2007
1	2	205	168	0
2	2	208	0	2005
1	1	192	168	2006
2	2	208	0	2005
1	2	222	170	2008
5	2	199	0	0
2	2	205	169	2004
1	2	192	168	2007
1	1	196	166	2006
1	2	222	166	2006
2	0	228	0	2003
1	2	194	167	2008
1	2	228	170	2008
2	2	228	169	2005
